china manufacturing,264
manufacturing data,265
bad employment,268
data disappoints,273
employment numbers,276
sell price,285
analysis steering,285
steering clear,285
order sell,288
eases back,298
price action,303
eyes level,303
upside eyes,310
entry setting,314
buy limit,320
key resistance,331
impulse entry,340
order closed,365
inside bar,366
sell limit,373
edge blog,401
short term,408
biased upside,472
bands entry,506
bollinger bands,506
double bollinger,506
entry double,506
weekly edge,517
trailing stop,606
order cancelled,651
upward price,696
stays upward,704
cycle bottom,725
warns breakdown,760
weakness warns,771
formed cycle,777
long entry,794
lows weakness,796
bought lots,825
entry elder,844
sho entry,990
waiting order,994
sentiment long,1039
bullish bullish,1152
lots fxdd,1954
buy lots,4784
closed buy,7235
sell lots,7355
closed sell,10461
