stays downward,70
gbpusd retrace,72
order opened,89
entry fibonacci,94
fibonacci pivot,94
key support,100
entry floor,102
floor trader,102
trader pivot,102
gridhedgeenv order,103
sold lots,103
bought lots,104
closed gbpusd,111
ticket buy,119
buy stoch,121
ticket sell,126
gbpusd bullish,142
sell stoch,147
gbpusd buy,150
sentiment long,151
buy stop,158
gbpusd falls,166
long gbpusd,198
gbpusd short,248
gbpusd support,249
gbpusd resistance,265
short entry,266
long entry,390
bearish based,499
sentiment bearish,502
gbpusd long,520
buy limit,984
short future,1032
long future,1092
sell limit,1301
bullish based,1466
sentiment bullish,1470
buy gbpusd,2574
sell gbpusd,2931
buy lots,4611
sell lots,5125
closed buy,8239
closed sell,9598
